albumID,artistID,trackID,Track,Albums,Artist(s),Popularity,Image URL,time_range,Rank
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,5SAGUw3RI0NdwNuDB0irjv,"Morning Dew (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,1
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,427ItdZMgvex03S4aReNDW,"Jack Straw (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,21,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,2
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,5IHnYDMb6S7p7rmUFnMfvH,"Wave That Flag (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,20,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,3
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,5ZJvPMzz4jbaKahDkDABR3,"Ramble on Rose (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,4
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,5bchPUI6r1S5qjfnNHJBUT,"Beat It on Down the Line (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,20,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,5
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,7gHWcFPnnyy0j3HQPeGRR3,"Looks Like Rain (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,19,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,6
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,1QA5senoc6Ff8yQtnnMGLu,"Box of Rain (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,20,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,7
5bYts6cqDWfSjcXqfVxlyP,6O5k8LLRfDK8v9jj1GazAQ,0J8RLCdpZxLJ5WFNOfET9o,The Message Continues - Live at Radio City Music Hall,Live at Radio City Music Hall,Nubya Garcia,12,https://i.scdn.co/image/ab67616d0000b27340e881599ca90695a920f618,short_term,8
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,1EZXWqHOHfsEPIKGTTb28c,"Eyes of the World (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,20,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,9
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,2wLtsn2t4B7hma0ilVMGON,"Eyes of the World - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,short_term,10
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,2ysjbPgzTFSlvNPqyKMtw5,"Bird Song (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,20,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,11
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,4SyiOMNFiSun3iSWvkglZ1,"Row Jimmy (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,19,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,12
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,5Ka80ETZbbaNCwRKVNbEGD,"They Love Each Other (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,21,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,13
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,5plBWvXZgajjcl7hxcIwtS,"El Paso (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,18,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,14
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,6zyZq6PfRTOgI73Oclvbvx,"The Race Is On (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,19,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,15
32MaUU5gk5Ig0nHC9G5VNX,2mVVjNmdjXZZDvhgQWiakk,7g18n5nxV5ep8ugBR3BmHD,White Gloves,The Universe Smiles Upon You,Khruangbin,63,https://i.scdn.co/image/ab67616d0000b273e08ee206ad63148105336a19,short_term,16
2Lxt0taVNc2Bv20rt0d21w,4TMHGUX5WI7OOm53PqSDAT,3zych9e6K1BfnwJN7KhFp1,"Playing in the Band (Live at RFK Stadium, Washington, DC, 6/10/73)","RFK Stadium, Washington, DC, 6/10/73 (Live)",Grateful Dead,19,https://i.scdn.co/image/ab67616d0000b2738a059891f38f4985a426d89b,short_term,17
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,05Q7mrOv3ed7lqbiFuqc2V,"Estimated Prophet - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,short_term,18
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,0QKaDI2MZJwjulre4pEYCR,"Sugar Magnolia - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,23,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,short_term,19
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,0tyrv88txjpUOgoWjAcozF,"Franklin's Tower - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,27,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,short_term,20
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,2C4h5x1lwt6AJ0F8VM5UGi,"Ship of Fools - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,21,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,short_term,21
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,2fpmfFA1UKOD7O1BydAqNw,"Wharf Rat - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,25,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,short_term,22
28iSGTnbDa3i5wwEoCYg8c,2upjmNmngAXZcra9dQRR2l,32xc0yIVvFpKFkwVLGyRuW,Castle In The Clouds,Nobody Lives Here Anymore,Cut Worms,26,https://i.scdn.co/image/ab67616d0000b273645ad9508689b9358c8529e7,short_term,23
1frGfIwa0RGCzgkOeqXukj,7fgs0Ym1ukMZDgKjx8mbMe,3lMLS8UAUrT2PiMqrL0qGR,Found You Again,Found You Again,"fantasy of a broken heart, Jordana",40,https://i.scdn.co/image/ab67616d0000b27345406cfc1abcabdb71b98263,short_term,24
2256qKBSQdt53T5dz4Kdcs,0xliTEbFfy5HQHvsTknTkX,4S1VYqwfkLit9mKVY3MXoo,Forever Young,Forever Young,Alphaville,84,https://i.scdn.co/image/ab67616d0000b273b9c4979446c4d39bc08e9503,short_term,25
1PeC1ckDJSzYHkwo6JHbP2,2mVVjNmdjXZZDvhgQWiakk,4fG70GdfEBkQhH6VgTzK5r,Todavía Viva,A LA SALA,Khruangbin,52,https://i.scdn.co/image/ab67616d0000b2733854b553506134a1421ed58c,short_term,26
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,4mVNePT70YA5m8IYbWdkAU,"El Paso - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,short_term,27
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,5GYZPktpbEb1rJu70WGWOc,"New Minglewood Blues - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,21,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,short_term,28
6q4mDbsYJsixRai11qc2Vx,4TMHGUX5WI7OOm53PqSDAT,5HyqkTD1AyfOqopIT4ybDf,"The Other One - Live at Red Rocks Amphitheatre, Morrison, CO 7/8/78","Red Rocks Amphitheatre, Morrison, CO 7/8/78 (Live)",Grateful Dead,22,https://i.scdn.co/image/ab67616d0000b273bf76409fe710b31bbbd392a1,short_term,29
